Epoch 1/2
	 * Train loss: 2.846158209108699
	 * Validation loss: 2.850098661075896
Epoch 2/2
	 * Train loss: 2.777072689969376
	 * Validation loss: 2.8156563796617338
Accuracy on test data: 0.1527777777777778
         82445611 function calls (82409333 primitive calls) in 200.966 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      402    0.012    0.000    0.063    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/std.py:464(format_meter)
     8190    0.012    0.000    0.017    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/font_manager.py:638(__hash__)
     1250    0.012    0.000    0.052    0.000 {built-in method builtins.sum}
   150514    0.011    0.000    0.011    0.000 {built-in method unicodedata.east_asian_width}
    91963    0.011    0.000    0.011    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/multiarray.py:153(concatenate)
1522/1289    0.011    0.000    0.011    0.000 {built-in method _abc._abc_subclasscheck}
        4    0.010    0.003    0.010    0.003 {built-in method torch.randperm}
       13    0.010    0.001    0.010    0.001 {method 'read' of '_io.BufferedReader' objects}
        2    0.009    0.005    0.012    0.006 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:39(__init__)
       56    0.009    0.000    0.009    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      398    0.009    0.000    0.122    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py:51(<listcomp>)
3042/2705    0.009    0.000    0.070    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:1176(_update_props)
42690/42660    0.008    0.000    0.014    0.000 {built-in method builtins.getattr}
        1    0.008    0.008    0.008    0.008 {built-in method posix.listdir}
11371/195    0.008    0.000    0.016    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/copy.py:128(deepcopy)
      400    0.008    0.000    0.025    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/utils/data/sampler.py:274(__iter__)
    28557    0.008    0.000    0.016    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/__init__.py:741(__getitem__)
        5    0.008    0.002    0.008    0.002 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:64(__init__)
     8540    0.008    0.000    0.017    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/copy.py:66(copy)
35935/30416    0.007    0.000    0.013    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:317(stale)
    39668    0.007    0.000    0.008    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/utils/data/_utils/collate.py:139(<genexpr>)
 1194/398    0.007    0.000    0.152    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/utils/data/_utils/collate.py:88(collate)
       23    0.006    0.000    1.145    0.050 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/pyplot.py:987(gcf)
      662    0.006    0.000    0.106    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:734(draw)
     7370    0.006    0.000    0.010    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/cbook.py:2011(_setattr_cm)
    28558    0.006    0.000    0.008    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/__init__.py:690(_get)
     2636    0.006    0.000    0.031    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/cbook.py:1743(normalize_kwargs)
      398    0.006    0.000    0.127    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/std.py:1198(update)
      400    0.005    0.000    0.404    0.001 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/utils/data/dataloader.py:626(__next__)
        1    0.005    0.005    0.005    0.005 {built-in method _posixsubprocess.fork_exec}
      446    0.005    0.000    0.006    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    51519    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
6254/6252    0.005    0.000    0.008    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/cbook.py:285(process)
    12605    0.005    0.000    0.005    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/_api/__init__.py:99(check_in_list)
      802    0.005    0.000    0.005    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/std.py:400(format_interval)
    39670    0.004    0.000    0.017    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/utils/data/sampler.py:152(__iter__)
      796    0.004    0.000    0.004    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
     4149    0.004    0.000    0.014    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
      400    0.004    0.000    0.004    0.000 {built-in method now}
     4139    0.004    0.000    0.013    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/copy.py:259(_reconstruct)
        1    0.004    0.004    0.004    0.004 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/font_manager.py:1493(_get_font)
     3947    0.004    0.000    0.008    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:758(__init__)
      796    0.004    0.000    0.125    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/utils/data/_utils/collate.py:155(collate_tensor_fn)
       67    0.004    0.000    0.004    0.000 {built-in method posix.stat}
    12480    0.004    0.000    0.004    0.000 {method 'copy' of 'numpy.ndarray' objects}
1761/1326    0.004    0.000    0.008    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:2431(get_affine)
      2/1    0.004    0.002    0.757    0.757 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/pyplot.py:284(switch_backend)
     1094    0.003    0.000    0.013    0.000 {built-in method builtins.all}
     2831    0.003    0.000    0.004    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:182(set_children)
      400    0.003    0.000    0.553    0.001 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/std.py:1160(__iter__)
        3    0.003    0.001    0.003    0.001 {method 'copy' of 'ImagingCore' objects}
      300    0.003    0.000    0.010    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:666(recache)
        4    0.003    0.001    0.003    0.001 {method 'draw_quad_mesh' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      306    0.003    0.000    0.023    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:287(__init__)
     1036    0.003    0.000    0.006    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:180(__init__)
        4    0.003    0.001    0.003    0.001 {method 't' of 'torch._C.TensorBase' objects}
     7165    0.003    0.000    0.004    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:1769(__init__)
      409    0.003    0.000    0.003    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
8987/8986    0.003    0.000    0.004    0.000 {built-in method numpy.asarray}
6802/4039    0.003    0.000    0.003    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
      400    0.003    0.000    0.003    0.000 {built-in method torch._ops.profiler.}
