Epoch 1/2
	 * Train loss: 2.846158209108699
	 * Validation loss: 2.850098661075896
Epoch 2/2
	 * Train loss: 2.777072689969376
	 * Validation loss: 2.8156563796617338
Accuracy on test data: 0.1527777777777778
         82445611 function calls (82409333 primitive calls) in 200.966 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      342    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:906(set_clip_on)
        5    0.000    0.000    0.000    0.000 {method 'argmax' of 'numpy.ndarray' objects}
       34    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
      870    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:542(<genexpr>)
      195    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:137(__setstate__)
      366    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3269(round)
      309    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:732(set_transform)
     1703    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2831(_min_dispatcher)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      402    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/utils.py:112(__format__)
       66    0.000    0.000    0.003    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:1317(<listcomp>)
      255    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2421(all)
        3    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      204    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/ticker.py:1947(le)
     1575    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:1347(get_parse_math)
      111    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
       29    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/cycler/__init__.py:416(by_key)
     1368    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:1128(sticky_edges)
      245    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_base.py:562(<dictcomp>)
       21    0.000    0.000    0.040    0.002 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:2599(_update_label_position)
        1    0.000    0.000    0.167    0.167 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/seaborn/matrix.py:294(plot)
      140    0.000    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/offsetbox.py:1086(_get_anchored_bbox)
      123    0.000    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:657(<listcomp>)
      102    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/_methods.py:218(_ptp)
      627    0.000    0.000    0.000    0.000 {method 'set_size' of 'matplotlib.ft2font.FT2Font' objects}
        5    0.000    0.000    0.000    0.000 <frozen posixpath>:421(_joinrealpath)
      114    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:744(_get_axis_name)
      594    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:1335(set_parse_math)
      477    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/_methods.py:61(_all)
        1    0.000    0.000    0.000    0.000 {method 'update' of '_macosx.FigureCanvas' objects}
      326    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       35    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:569(count_contains)
      247    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:1095(set_fontsize)
       33    0.000    0.000    0.041    0.001 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:2143(_get_tick_boxes_siblings)
      731    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:2678(get_matrix)
      228    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:1112(set_zorder)
        3    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:1453(<listcomp>)
        3    0.000    0.000    0.346    0.115 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/image.py:1531(imsave)
        3    0.000    0.000    0.638    0.213 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backend_bases.py:2052(print_figure)
      306    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:1241(set_markeredgewidth)
      123    0.000    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:658(<listcomp>)
      733    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:239(__array__)
       77    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/inspect.py:867(cleandoc)
     1846    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
      123    0.000    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:659(<listcomp>)
        2    0.000    0.000    0.002    0.001 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:1948(set_ticklabels)
       64    0.000    0.000    0.021    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:1576(_copy_tick_props)
      208    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2100(clip)
       52    0.000    0.000    0.009    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/patches.py:579(draw)
      204    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/ticker.py:1954(ge)
      903    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:611(get_gid)
        2    0.000    0.000    0.000    0.000 {method 'set_cursor' of '_macosx.FigureCanvas' objects}
        9    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/function_base.py:24(linspace)
      800    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/font_manager.py:844(set_file)
        3    0.000    0.000    0.000    0.000 {method 'tofile' of 'numpy.ndarray' objects}
     1092    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:317(get_rotation_mode)
      306    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:1256(set_markersize)
     1122    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:283(get_loc)
      208    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
      125    0.000    0.000    0.013    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:1493(get_majorticklocs)
        1    0.000    0.000    0.015    0.015 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/figure.py:1205(colorbar)
       15    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/ticker.py:2013(_validate_steps)
      104    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:1001(set_alpha)
      278    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:193(__get__)
      100    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:195(_set_labelrotation)
      318    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
       10    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/figure.py:3005(set_size_inches)
      402    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/std.py:167(colour)
      432    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:2308(get_matrix)
      153    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
     19/9    0.000    0.000    0.766    0.085 <frozen importlib._bootstrap>:1165(_find_and_load)
      306    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:505(set_pickradius)
        8    0.000    0.000    0.276    0.034 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_base.py:3005(draw)
      100    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:207(_apply_tickdir)
        8    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:647(__init__)
       33    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:1867(_set_formatter)
        4    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/colors.py:567(_create_lookup_table)
       14    0.000    0.000    0.019    0.001 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:882(clear)
      246    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:452(_no_nep50_warning)
        2    0.000    0.000    0.012    0.006 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/std.py:663(__new__)
       28    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_base.py:4283(get_children)
        1    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/PIL/JpegPresets.py:1(<module>)
       92    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:1800(transform_path_affine)
      245    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_base.py:559(_axis_map)
       14    0.000    0.000    0.003    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/legend.py:1160(_find_best_position)
      306    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:1221(set_markerfacecolor)
        6    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/inspect.py:2333(_signature_from_function)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
       19    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/lib/function_base.py:1324(diff)
       14    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/lib/arraysetops.py:373(intersect1d)
      204    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/ticker.py:1922(__init__)
        6    0.000    0.000    0.280    0.047 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/figure.py:3134(draw)
       46    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/cbook.py:215(connect)
      102    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2593(ptp)
       75    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:173(search)
       52    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_base.py:937(get_xaxis_text1_transform)
     19/9    0.000    0.000    0.766    0.085 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
       50    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:585(count_overlaps)
       71    0.000    0.000    0.004    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/patches.py:600(get_window_extent)
      306    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:1041(set_antialiased)
      195    0.000    0.000    0.004    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/path.py:279(__deepcopy__)
      342    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:432(<listcomp>)
        3    0.000    0.000    0.327    0.109 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/PIL/PngImagePlugin.py:1233(_save)
       18    0.000    0.000    0.000    0.000 {method 'size' of 'torch._C.TensorBase' objects}
        6    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/figure.py:215(_get_draw_artists)
       11    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/colors.py:1329(__call__)
      195    0.000    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/copy.py:237(_deepcopy_method)
       28    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:1054(set)
      932    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/patches.py:767(rotation_point)
      484    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:834(get_alpha)
      381    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:2646(get_matrix)
       52    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:2282(__init__)
        3    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/cm.py:613(norm)
      153    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
      242    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backend_bases.py:989(set_joinstyle)
       12    0.000    0.000    0.023    0.002 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:2358(_update_label_position)
      108    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:2218(<genexpr>)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:46(SemLock)
     12/6    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/inspect.py:2428(_signature_from_callable)
       29    0.000    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_base.py:2516(_process_unit_info)
      725    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backend_bases.py:1004(set_url)
        6    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/_weakrefset.py:63(__iter__)
       17    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/spines.py:35(__init__)
       85    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:788(frozen)
        4    0.000    0.000    0.052    0.013 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_base.py:4338(get_tightbbox)
      306    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:1100(set_gapcolor)
        5    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/legend.py:1251(_get_legend_handles)
      200    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:1041(set_fontfamily)
      727    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:723(get_path_effects)
      140    0.000    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/legend.py:1141(_get_anchored_bbox)
       65    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/ma/core.py:3217(__getitem__)
       48    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_base.py:1017(get_yaxis_text1_transform)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/logging/__init__.py:292(__init__)
      910    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/font_manager.py:1209(score_size)
        5    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/colors.py:701(__call__)
      206    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:726(_get_transformed_path)
      236    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/offsetbox.py:190(<genexpr>)
        2    0.000    0.000    0.003    0.001 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_axes.py:6101(pcolormesh)
      306    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:1231(set_markerfacecoloralt)
       15    0.000    0.000    0.007    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/scale.py:103(set_default_locators_and_formatters)
      243    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/getlimits.py:612(tiny)
        4    0.000    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_base.py:2815(autoscale_view)
      120    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/ticker.py:732(<genexpr>)
      204    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/ticker.py:1615(raise_if_exceeds)
      910    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/font_manager.py:1145(score_style)
      139    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:1181(set_position)
      618    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backend_bases.py:834(get_clip_path)
      242    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backend_bases.py:919(set_capstyle)
      558    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:260(points_to_pixels)
       13    0.000    0.000    0.025    0.002 <frozen importlib._bootstrap_external>:1007(get_code)
       17    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:1364(<listcomp>)
      910    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/font_manager.py:1162(score_variant)
       52    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_base.py:963(get_xaxis_text2_transform)
       34    0.000    0.000    0.015    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:1658(grid)
      400    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/_jit_internal.py:1120(is_scripting)
      594    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:605(set_wrap)
        1    0.000    0.000    0.005    0.005 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/resource_tracker.py:94(ensure_running)
        3    0.000    0.000    0.344    0.115 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/PIL/Image.py:2376(save)
      798    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      142    0.000    0.000    0.021    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:73(_get_text_metrics_with_cache_impl)
      306    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:1211(set_markeredgecolor)
        1    0.000    0.000    0.010    0.010 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:50(__init__)
      306    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:550(set_markevery)
      678    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:579(_update_clip_properties)
      138    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:2759(get_transformed_points_and_affine)
        4    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
  276/114    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/cbook.py:548(flatten)
      306    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/ticker.py:317(__call__)
      185    0.000    0.000    0.000    0.000 <frozen _collections_abc>:878(__iter__)
       56    0.000    0.000    0.009    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:95(draw_path)
       48    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:497(_apply_tickdir)
       21    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:2638(_update_offset_text_position)
     18/4    0.000    0.000    0.009    0.002 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/offsetbox.py:406(draw)
        2    0.000    0.000    0.004    0.002 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/utils/data/dataloader.py:565(__init__)
       28    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/_api/__init__.py:278(select_matching_signature)
      618    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backend_bases.py:849(get_dashes)
      483    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:246(get_canvas_width_height)
        8    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_base.py:2874(handle_single_axis)
      124    0.000    0.000    0.004    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:1029(get_path)
      672    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      204    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.327    0.109 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/PIL/ImageFile.py:545(_encode_tile)
      618    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backend_bases.py:1038(get_hatch_color)
       48    0.000    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axes/_base.py:1043(get_yaxis_text2_transform)
      766    0.000    0.000    0.000    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/path.py:223(codes)
